iso3,area,year,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
AFG,Logar,2021,152031,251647,144355,86613,0,634646,230968,0.36393201879473,0.166802175280918,0.0859283933265334
AFG,Logar,2022,173225,202096,202096,57742,0,635159,259838,0.40909126691112,0.166666929068155,0.0757577586434613
AFG,Nangarhar,2017,922469,368988,461235,92247,0,1844939,553482,0.300000162607002,0.116666729902723,0.050000027101167
AFG,Nangarhar,2018,275132,412698,550264,137566,0,1375660,687830,0.5,0.2,0.0888888888888889
AFG,Nangarhar,2019,500544,500544,500544,166848,0,1668480,667392,0.4,0.166666666666667,0.0777777777777778
AFG,Nangarhar,2020,427313,489945,427313,213657,0,1558228,640970,0.411345451371686,0.182820271915706,0.0914101716108868
AFG,Nangarhar,2021,427313,734585,663684,474060,0,2299642,1137744,0.494748312998284,0.233631147804745,0.123687078249571
AFG,Nangarhar,2022,379248,758496,568872,284436,0,1991052,853308,0.428571428571429,0.19047619047619,0.0952380952380952
AFG,Nangarhar Urban,2020,67159,83196,124794,41598,0,316747,166392,0.525315156891778,0.218881315371574,0.102144613840068
AFG,Nangarhar Urban,2021,83196,124009,128045,91461,0,426711,219506,0.514413736697671,0.242917728079817,0.128603564369223
AFG,Nangarhar Urban,2022,91461,146338,91461,73169,0,402429,164630,0.409090796140437,0.196969734619854,0.106060668810868
AFG,Nangarhar c_1,2017,127449,195157,27880,39828,0,390314,67708,0.173470590345209,0.0918371704149309,0.0532881503382177
AFG,Nangarhar c_2,2017,25340,39530,25340,10136,0,100346,35476,0.35353676280071,0.151515755486018,0.072952030419194
AFG,Nangarhar c_3,2017,111468,55734,78028,30654,0,275884,108682,0.39394093169593,0.168350949432853,0.0808085201670912
AFG,Nangarhar c_4,2017,50031,63675,18193,18193,0,150092,36386,0.242424646216987,0.121212323108493,0.0673401795047186
AFG,Nangarhar c_5,2017,110001,144573,31429,22000,0,308003,53429,0.17346908958679,0.0816323217630997,0.0430836351882575
AFG,Nangarhar c_6,2017,116991,70194,70194,29248,0,286627,99442,0.346938704309085,0.149660243684882,0.0725627538384187
AFG,Nangarhar c_7,2017,99165,151847,27890,21692,0,300594,49582,0.164946738790528,0.0790368403893624,0.0423820095470228
AFG,Nangarhar c_8,2017,10505,14802,13847,6685,0,45839,20532,0.447915530443509,0.197917348400561,0.0983805638575594
AFG,Nimroz,2017,51338,42782,59894,17113,0,171127,77007,0.449999123458017,0.183333625513994,0.0833338203011019
AFG,Nimroz,2018,219148,219148,219148,73049,0,730493,292197,0.399999726212298,0.166666438510248,0.0777776104630708
AFG,Nimroz,2019,18020,63070,81090,36040,0,198220,117130,0.590909090909091,0.257575757575758,0.126262626262626
AFG,Nimroz,2020,72080,64244,72080,27533,0,235937,99613,0.422201689434044,0.179632698559361,0.0858101009073515
AFG,Nimroz,2021,55066,85400,85400,48800,0,274666,134200,0.488593418916065,0.222087917689121,0.113511602374439
AFG,Nimroz,2022,36600,85400,85400,61000,0,268400,146400,0.545454545454545,0.257575757575758,0.136363636363636
AFG,Nuristan,2017,53578,61232,30616,7654,0,153080,38270,0.25,0.1,0.0444444444444444
AFG,Nuristan,2018,49884,99768,224478,124710,0,498840,349188,0.7,0.316666666666667,0.161111111111111
AFG,Nuristan,2019,40248,32199,56348,40248,0,169043,96596,0.571428571428571,0.269840612546315,0.142856485562188
AFG,Nuristan,2020,48298,64397,40954,32763,0,186412,73717,0.395452009527284,0.190402620718266,0.102524396378869
AFG,Nuristan,2021,57335,65526,76216,65328,0,264405,141544,0.535330269851175,0.260801926337752,0.141839644148602
AFG,Nuristan,2022,43552,65328,76216,43552,0,228648,119768,0.523809523809524,0.238095238095238,0.121693121693122
AFG,Nuristan c_1,2017,14373,20533,4107,1232,0,40245,5339,0.132662442539446,0.0544249803288193,0.0249444375422758
AFG,Nuristan c_2,2017,12504,12504,10420,5418,0,40846,15838,0.387749106399647,0.173464557933049,0.0872980898442388
AFG,Nuristan c_3,2017,18096,19001,4072,3167,0,44336,7239,0.163275893179358,0.078235895585228,0.0419523637675929
AFG,Paktika,2017,244591,48918,146755,48918,0,489182,195673,0.400000408845787,0.166666666666667,0.0777776869231583
AFG,Paktika,2018,169106,169106,140921,84553,0,563686,225474,0.399999290385073,0.183333155929601,0.0944444247329187
AFG,Paktika,2019,381054,266738,114316,38105,0,800213,152421,0.19047553588857,0.0793647024812977,0.0370368056171711
AFG,Paktika,2020,310199,342949,304843,114316,0,1072307,419159,0.390894585226059,0.165834038199881,0.0789685748163125
AFG,Paktika,2021,310199,360807,360807,154632,0,1186445,515439,0.434439860254795,0.188257357062485,0.0917151658947528
AFG,Paktika,2022,154632,412351,360807,154632,0,1082422,515439,0.476190432197424,0.20634927967096,0.100529183627088
AFG,Paktya,2017,363840,139472,90960,12128,0,606400,103088,0.17,0.0633333333333333,0.0255555555555556
AFG,Paktya,2018,186024,223228,223228,111614,0,744094,334842,0.449999596825132,0.19999982081117,0.0999999104055849
AFG,Paktya,2019,270554,210431,120246,60123,0,661354,180369,0.27272686035013,0.121211937933391,0.0606059689666956
AFG,Paktya,2020,244781,330677,152988,60123,0,788569,213111,0.270250288814295,0.115497819467922,0.0554421997314122
AFG,Paktya,2021,244781,315132,284716,81347,0,925976,366063,0.395326660734187,0.161058889935232,0.0732085208831906
AFG,Paktya,2022,203369,366063,244042,81347,0,894821,325389,0.363635855662753,0.151514846730985,0.0707068788059288
